account position pnl
mm 4 0.00
mm 40 0.00
mm 7 69.20
mm -26 71.79
mm -59 62.17
mm -82 -131.94
mm -105 -163.92
mm -123 300.18
mm -141 254.67
mm -159 202.50
mm -66 91.20
mm -18 91.20
mm 71 91.20
mm 179 118.18
mm 199 118.18
mm 163 353.00
noise-2 36 0.00
noise-2 72 14.04
noise-2 108 42.12
mm 127 416.57
mm 91 466.10
noise-2 112 223.56
noise-2 140 223.56
noise-2 160 223.56
noise-2 200 223.56
noise-2 215 223.56
mm 53 395.12
mm 15 415.79
mm -23 421.64
mm -49 394.27
noise-3 16 0.00
mm -75 374.67
retail-4 26 0.00
retail-4 52 10.40
mm -97 344.67
retail-4 74 31.20
mm -80 499.87
retail-5 24 0.00
retail-5 44 0.72
retail-5 76 72.88
retail-5 78 80.48
noise-2 210 -53.79
noise-2 205 -137.79
noise-2 200 -219.79
noise-2 136 -1177.79
retail-2 2 0.00
retail-2 66 0.06
retail-2 78 421.80
mm -75 499.87
mm -70 529.87
mm -65 557.87
mm -77 453.87
mm -86 453.87
mm -107 419.47
retail-3 9 0.00
retail-3 30 3.60
noise-5 -51 0.00
noise-5 -68 7.14
mm -38 1255.14
mm -56 1227.78
mm -74 1207.62
mm -92 1180.98
noise-3 -53 -110.08
noise-5 -50 407.66
noise-5 -32 389.66
noise-5 -14 378.14
noise-2 140 -374.03
noise-2 156 -374.03
noise-2 176 -374.03
noise-4 24 0.00
noise-6 -24 0.00
noise-4 40 0.00
noise-10 -16 0.00
noise-4 52 0.00
mm -111 1229.74
mm -130 1189.78
mm -149 1142.98
noise-5 5 385.56
noise-5 24 387.36
noise-5 43 396.00
noise-2 104 -124.11
noise-5 115 684.96
noise-5 131 684.96
noise-5 147 684.96
noise-4 28 73.84
noise-4 -77 45.28
noise-5 171 684.96
noise-3 -109 -498.57
noise-6 -44 -9.60
mm -163 897.13
noise-10 -28 76.16
noise-5 183 -371.82
noise-5 197 -168.69
noise-4 -63 327.87
noise-4 -49 303.93
mm -177 835.19
mm -191 767.93
noise-2 149 -187.55
noise-2 165 -187.55
noise-6 -60 -27.64
noise-1 -12 0.00
noise-7 12 0.00
noise-3 -153 -158.49
noise-7 56 0.00
mm -201 913.09
mm -211 836.71
noise-6 -50 239.96
noise-6 -40 220.96
noise-6 -30 205.76
mm -221 756.53
noise-2 274 -230.45
noise-5 88 658.71
noise-2 310 -230.45
noise-3 -189 -658.80
noise-2 334 -230.45
noise-7 32 183.12
noise-2 347 -230.45
noise-8 -13 0.00
noise-8 -36 5.20
noise-10 -5 -61.32
noise-4 -157 154.97
noise-10 103 -61.32
noise-1 -20 -34.44
noise-10 111 -61.32
noise-2 354 -1830.12
mm -228 1015.10
mm -235 930.74
noise-2 361 -1699.14
noise-2 368 -1565.57
mm -242 843.79
mm -246 -378.31
noise-7 16 208.08
noise-3 -173 -806.22
noise-10 115 114.06
noise-8 -64 -61.40
noise-10 143 145.11
noise-5 0 727.35
noise-3 -85 -806.22
noise-4 -139 23.09
noise-6 -48 89.36
mm -250 950.09
noise-1 -16 41.96
mm -254 855.09
noise-1 -12 35.88
mm -258 758.57
noise-1 -8 31.32
noise-1 16 1.80
noise-8 -88 16.68
noise-4 -229 52.28
noise-1 106 1.80
noise-7 0 199.28
noise-1 122 1.80
noise-3 -133 -759.47
noise-1 170 1.80
noise-2 256 -1245.41
noise-6 20 305.36
noise-6 132 326.56
noise-5 -68 727.35
noise-9 3 0.00
mm -261 443.81
mm -264 342.02
noise-9 6 1.17
noise-9 9 3.51
mm -267 239.06
noise-9 56 5.58
noise-10 96 -238.13
mm -269 564.80
mm -271 462.58
noise-7 2 199.28
mm -273 359.60
noise-7 4 200.04
noise-7 6 201.56
noise-3 -173 -923.06
noise-7 46 221.84
noise-9 44 156.22
noise-7 58 221.84
noise-2 168 -103.65
noise-7 146 221.84
noise-10 60 20.11
noise-7 182 221.84
noise-4 -282 -229.39
noise-4 -301 -141.97
noise-8 -69 -64.28
noise-7 235 221.84
noise-8 -13 -64.28
noise-5 -124 373.07
noise-1 124 158.20
noise-8 33 -64.28
noise-6 176 630.16
noise-5 -168 602.47
noise-6 221 630.16
noise-7 176 -285.76
noise-3 -205 -549.38
noise-2 156 -466.53
mm -245 354.14
noise-10 32 -181.49
mm -209 354.14
noise-1 88 -220.00
noise-2 96 -592.89
noise-4 -241 658.69
noise-6 233 630.16
noise-6 292 630.16
noise-6 324 630.16
noise-6 336 630.16
noise-9 32 61.18
noise-8 -12 -125.33
mm -153 182.76
noise-2 40 -551.61
mm -117 182.76
noise-5 -204 666.31
mm -69 182.76
noise-7 128 -352.64
noise-1 60 -593.12
noise-6 244 -1325.36
noise-4 -313 1839.59
noise-9 124 -125.06
noise-9 196 -111.42
noise-9 224 -58.50
noise-9 260 40.06
noise-9 284 339.06
noise-8 -48 -65.33
noise-10 8 -266.29
noise-2 23 -405.21
noise-2 -4 -417.40
noise-4 -285 625.15
noise-4 -263 100.75
noise-4 -241 -1.82
noise-4 -219 -95.81
noise-4 -143 -641.12
noise-4 -126 -641.12
noise-9 224 560.58
noise-8 -76 -217.49
noise-7 155 48.00
noise-7 183 48.00
mm -45 368.37
mm 15 368.37
mm -7 414.57
mm -29 411.84
mm -51 400.53
noise-3 -185 47.17
noise-10 -12 -258.77
noise-6 168 895.04
noise-1 36 -450.92
noise-5 -232 27.79
mm -75 558.63
mm -99 530.13
mm -123 492.51
noise-3 -161 -63.83
noise-3 -137 -125.01
noise-3 -113 -177.07
noise-3 -97 -284.42
noise-10 -28 -286.49
noise-4 -221 -152.24
noise-3 -2 -284.42
mm -139 327.69
mm -155 273.48
mm -171 213.03
noise-6 184 308.72
noise-6 200 380.48
noise-6 216 458.48
noise-9 248 1727.62
noise-5 -256 169.31
noise-2 -40 -414.96
noise-9 284 1727.62
noise-9 331 1727.62
noise-8 -56 -415.85
noise-7 136 -63.63
noise-1 16 -312.32
noise-4 -297 -375.45
mm -183 621.72
mm -195 552.18
mm -207 478.08
noise-3 10 -281.98
noise-3 22 -278.18
noise-3 34 -269.82
noise-3 110 -219.84
noise-9 371 2151.30
noise-7 96 110.45
noise-9 439 2151.30
noise-6 148 1074.08
noise-8 -80 -563.69
noise-9 463 2151.30
noise-9 475 2151.30
noise-10 -40 -399.05
noise-9 495 2151.30
noise-5 -276 -158.37
noise-9 510 2151.30
noise-2 -39 -380.16
noise-1 1 -270.08
noise-1 0 -272.23
mm -215 -87.03
mm -223 -173.03
retail-1 8 0.00
retail-1 16 3.20
mm -231 -262.23
retail-1 24 9.60
mm -237 587.85
mm -243 495.42
mm -249 400.65
noise-3 116 -398.04
noise-3 122 -352.80
noise-3 128 -305.22
noise-1 16 -272.23
noise-5 -292 233.55
mm -253 -304.02
noise-7 100 12.53
mm -257 -405.22
noise-7 104 52.53
noise-7 108 94.13
noise-4 -357 -1423.86
mm -261 -508.02
noise-7 168 174.05
noise-7 176 174.05
noise-10 -48 -419.85
noise-2 -19 -413.70
noise-8 -100 -460.49
noise-6 92 863.92
noise-1 72 -272.23
mm -264 1392.06
mm -267 1294.38
noise-9 513 -1673.70
noise-9 516 -1483.89
noise-9 519 -1292.97
mm -270 1195.59
noise-4 -405 -502.80
noise-9 567 1146.33
noise-9 579 1146.33
noise-5 -304 420.43
noise-9 603 1146.33
noise-1 48 -318.31
noise-6 48 805.04
noise-9 647 1146.33
noise-9 655 1146.33
noise-10 -56 -296.01
noise-7 174 -280.03
noise-9 657 1146.33
noise-2 74 -310.34
noise-3 35 -673.86
mm -272 531.39
mm -274 425.31
mm -276 318.45
noise-10 -54 -170.57
noise-10 -52 -191.63
noise-10 -50 -211.91
noise-9 524 699.57
noise-10 83 -250.91
noise-1 84 -282.79
noise-6 12 840.56
noise-2 24 90.00
noise-1 134 -282.79
noise-3 43 -439.01
noise-5 -312 -199.73
noise-7 128 74.93
noise-3 89 -439.01
noise-8 -116 -587.49
noise-3 105 -439.01
noise-4 -445 -1329.00
noise-3 145 -439.01
mm -236 -67.95
noise-2 -16 70.80
mm -142 -67.95
mm -106 -67.95
noise-3 51 -743.51
noise-7 92 -193.87
mm -78 -67.95
noise-6 -16 830.96
mm -70 -67.95
noise-5 -320 455.47
noise-8 -128 -343.89
mm -58 -67.95
noise-9 416 1024.45
mm 50 -67.95
mm 49 -27.95
mm 48 -8.35
mm 47 10.85
noise-4 -444 -750.50
noise-4 -443 -928.10
noise-4 -442 -1105.30
noise-4 -414 -1648.96
noise-4 -376 -1648.96
noise-4 -341 -1648.96
noise-7 64 66.49
noise-10 48 35.44
noise-1 96 -10.77
noise-4 -337 -1648.96
noise-5 -324 -450.13
noise-2 -48 25.52
noise-4 -305 -1648.96
noise-9 332 2176.77
noise-6 68 786.64
mm 14 -218.04
mm -19 -212.72
mm -52 -219.94
noise-8 -95 74.67
noise-8 -62 38.57
noise-8 -29 15.01
noise-8 47 -56.91
noise-3 -25 -745.04
noise-4 -361 -1282.96
noise-8 103 21.11
mm 16 -133.10
noise-9 264 -130.63
mm 76 -133.10
noise-3 -85 -641.29
mm 116 -133.10
noise-6 28 314.04
mm 99 181.26
mm 82 219.87
noise-2 -76 290.00
noise-4 -365 677.27
noise-7 40 -321.35
noise-5 -328 1668.83
noise-10 80 -293.36
noise-10 84 -275.76
noise-1 64 -668.37
noise-10 88 -268.20
noise-10 112 -225.96
noise-10 140 -164.36
noise-10 157 5.04
noise-10 174 66.27
mm 102 123.93
noise-2 -96 257.32
mm 65 291.21
mm 28 317.21
mm -9 328.41
noise-10 211 148.05
noise-10 248 232.45
noise-10 285 331.65
noise-6 -4 437.52
noise-10 317 343.05
noise-9 312 1598.57
noise-3 -133 -1198.04
noise-9 371 1598.57
noise-8 44 97.33
noise-9 391 1598.57
noise-7 20 -97.35
noise-9 415 1598.57
noise-4 -404 -1574.78
noise-4 -413 -1255.62
noise-9 454 1598.57
noise-1 40 -259.41
noise-5 -319 -66.29
noise-4 -449 -1338.22
mm 27 314.10
mm 67 314.10
mm 39 369.04
mm 11 385.03
mm -17 389.54
noise-3 -173 -1119.57
noise-1 68 -250.21
noise-1 96 -222.33
noise-1 124 -182.97
noise-6 -28 423.44
noise-1 148 -142.05
noise-1 229 -142.05
noise-9 426 2225.09
noise-10 236 1458.89
noise-1 257 -142.05
noise-8 0 -42.59
noise-9 360 665.93
noise-5 -324 1203.33
noise-7 25 -192.75
noise-7 69 -153.00
noise-7 135 -90.90
noise-2 -112 -345.56
noise-7 151 441.00
noise-2 -98 -185.40
noise-2 -70 -185.40
noise-2 -66 -185.40
noise-4 -477 -1706.40
noise-8 19 -42.59
noise-8 38 -34.80
noise-8 57 -19.22
noise-8 121 -1.55
noise-8 153 -1.55
noise-8 173 -1.55
noise-8 202 -1.55
noise-7 122 363.99
noise-7 108 251.75
mm -44 507.35
mm -71 490.63
mm -98 463.65
mm -117 -40.07
mm -136 -88.04
mm -155 -143.80
noise-3 -205 -1420.59
noise-10 172 1404.61
noise-6 -48 429.88
noise-1 284 -2007.87
noise-1 311 -1899.95
noise-1 338 -1781.77
noise-5 -328 -416.67
mm -168 900.90
mm -181 837.06
mm -194 768.28
noise-9 373 -637.27
noise-9 386 -495.53
noise-9 399 -348.85
noise-9 477 1139.42
mm -190 1063.16
noise-1 260 -527.79
noise-5 -332 1843.25
noise-4 -453 979.11
noise-3 -229 -77.84
